,gross_ret,equity_turnover,cash_turnover,turnover,fee_cost,impact_cost,cost,missing_ret_penalty_ret,capacity_shortfall,base_exposure_signal,base_exposure,vol_scale_signal,vol_scale,exposure,regime,regime_label,net_ret,nav,return_mode,weight_lag_days,exposure_signal_lag_days,vol_scale_lag_days,missing_ret_policy,max_participation_of_adv,impact_bps_at_100pct_adv
2021-12-03,-0.03110924614939592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7590031657132807,0.7799020360764207,1.0,2,RiskOff,-0.03110924614939592,2.8203845266526035,close_to_close,1,1,1,liquidate,,0.0
2021-12-06,-0.003018693395583971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7239863235526793,0.7590031657132807,1.0,2,RiskOff,-0.003018693395583971,2.81187065050899,close_to_close,1,1,1,liquidate,,0.0
2021-12-07,0.04347873003605726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7234804074293387,0.7239863235526793,1.0,1,Transition,0.04347873003605726,2.9341272154187834,close_to_close,1,1,1,liquidate,,0.0
2021-12-08,0.011021958823989543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6103784784506584,0.7234804074293387,1.0,2,RiskOff,0.011021958823989543,2.966467044771476,close_to_close,1,1,1,liquidate,,0.0
2021-12-09,-0.024692271690766817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6023067242300119,0.6103784784506584,1.0,2,RiskOff,-0.024692271690766817,2.8932182345402726,close_to_close,1,1,1,liquidate,,0.0
2021-12-10,-0.0019699184744750116,0.5936117245942599,0.39769327576998814,0.5936117245942599,0.00059361172459426,0.0,0.00059361172459426,0.0,0.0,1.0,1.0,0.5876908724944306,0.6023067242300119,0.6023067242300119,2,RiskOff,-0.0025635301990692715,2.8858013822235304,close_to_close,1,1,1,liquidate,,0.0
2021-12-13,-0.008418037731841181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5997542498034056,0.5876908724944306,0.6023067242300119,2,RiskOff,-0.008418037731841181,2.8615085973013734,close_to_close,1,1,1,liquidate,,0.0
2021-12-14,-0.010094579753268888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6149228101102959,0.5997542498034056,0.6023067242300119,2,RiskOff,-0.010094579753268888,2.83262287055125,close_to_close,1,1,1,liquidate,,0.0
2021-12-15,0.017712995460362264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6111841607620091,0.6149228101102959,0.6023067242300119,1,Transition,0.017712995460362264,2.8827971065982427,close_to_close,1,1,1,liquidate,,0.0
2021-12-16,-0.015172817595642984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5800373134854417,0.6111841607620091,0.6023067242300119,2,RiskOff,-0.015172817595642984,2.8390569519345803,close_to_close,1,1,1,liquidate,,0.0
2021-12-17,0.003836568550660883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5693075257378991,0.5800373134854417,0.6023067242300119,2,RiskOff,0.003836568550660883,2.8499491885499078,close_to_close,1,1,1,liquidate,,0.0
2021-12-20,-0.008595644463189637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5646919442996517,0.5693075257378991,0.6023067242300119,1,Transition,-0.008595644463189637,2.825452038586977,close_to_close,1,1,1,liquidate,,0.0
2021-12-21,0.023393092081983494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5626155468281427,0.5646919442996517,0.6023067242300119,1,Transition,0.023393092081983494,2.8915480982988706,close_to_close,1,1,1,liquidate,,0.0
2021-12-22,0.0057974811862715765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5318820167607435,0.5626155468281427,0.6023067242300119,2,RiskOff,0.0057974811862715765,2.9083117939979575,close_to_close,1,1,1,liquidate,,0.0
2021-12-23,0.004846813985885398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5288170925904874,0.5318820167607435,0.6023067242300119,1,Transition,0.004846813985885398,2.9224078402764224,close_to_close,1,1,1,liquidate,,0.0
2021-12-27,0.006570300909338094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5282527044710504,0.5288170925904874,0.6023067242300119,1,Transition,0.006570300909338094,2.9416089391668474,close_to_close,1,1,1,liquidate,,0.0
2021-12-28,-0.006822705543059738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5352519454153075,0.5282527044710504,0.6023067242300119,1,Transition,-0.006822705543059738,2.9215392075520796,close_to_close,1,1,1,liquidate,,0.0
2021-12-29,-0.002325363088232288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5387177027754643,0.5352519454153075,0.6023067242300119,1,Transition,-0.002325363088232288,2.9147455681180148,close_to_close,1,1,1,liquidate,,0.0
2021-12-30,0.002451731987704061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.554031960433424,0.5387177027754643,0.6023067242300119,1,Transition,0.002451731987704061,2.921891743063388,close_to_close,1,1,1,liquidate,,0.0
2021-12-31,-0.006069439645706185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5985799029174931,0.554031960433424,0.6023067242300119,1,Transition,-0.006069439645706185,2.904157497477578,close_to_close,1,1,1,liquidate,,0.0
2022-01-03,-0.007423112162189893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6024091501136546,0.5985799029174931,0.6023067242300119,1,Transition,-0.007423112162189893,2.882599610637137,close_to_close,1,1,1,liquidate,,0.0
2022-01-04,-0.012587850280021995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6401500508937068,0.6024091501136546,0.6023067242300119,1,Transition,-0.012587850280021995,2.846313878321187,close_to_close,1,1,1,liquidate,,0.0
2022-01-05,-0.023606654164185656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6199859602878917,0.6401500508937068,0.6023067242300119,1,Transition,-0.023606654164185656,2.779121930952937,close_to_close,1,1,1,liquidate,,0.0
2022-01-06,0.002056721281571387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6508650617448887,0.6199859602878917,0.6023067242300119,1,Transition,0.002056721281571387,2.7848378101724096,close_to_close,1,1,1,liquidate,,0.0
2022-01-07,-0.008570845849501133,0.07614615542593131,0.06379003254202453,0.07614615542593131,7.61461554259313e-05,0.0,7.61461554259313e-05,0.0,0.0,1.0,1.0,0.659339176748577,0.6508650617448887,0.6508650617448887,1,Transition,-0.008646992004927065,2.7607573398928302,close_to_close,1,1,1,liquidate,,0.0
2022-01-10,0.0008737007942182812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6771975205652753,0.659339176748577,0.6508650617448887,1,Transition,0.0008737007942182812,2.763169415773339,close_to_close,1,1,1,liquidate,,0.0
2022-01-11,0.012238060454519526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.676068866351535,0.6771975205652753,0.6508650617448887,1,Transition,0.012238060454519526,2.7969852501296524,close_to_close,1,1,1,liquidate,,0.0
2022-01-12,-0.0034145108515593915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6596302941234037,0.676068866351535,0.6508650617448887,1,Transition,-0.0034145108515593915,2.787434913641433,close_to_close,1,1,1,liquidate,,0.0
2022-01-13,-0.027803827055677688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6702558246242196,0.6596302941234037,0.6508650617448887,1,Transition,-0.027803827055677688,2.7099335553735884,close_to_close,1,1,1,liquidate,,0.0
2022-01-14,0.0013717824927507749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6481151310177533,0.6702558246242196,0.6508650617448887,1,Transition,0.0013717824927507749,2.713650994781368,close_to_close,1,1,1,liquidate,,0.0
2022-01-18,-0.015923061415699116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6668611813587043,0.6481151310177533,0.6508650617448887,1,Transition,-0.015923061415699116,2.670441363330691,close_to_close,1,1,1,liquidate,,0.0
2022-01-19,-0.0010473780636908341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6526469544477869,0.6668611813587043,0.6508650617448887,1,Transition,-0.0010473780636908341,2.667644401626366,close_to_close,1,1,1,liquidate,,0.0
2022-01-20,-0.004580333221152168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6568174883543457,0.6526469544477869,0.6508650617448887,1,Transition,-0.004580333221152168,2.6554257013513762,close_to_close,1,1,1,liquidate,,0.0
