,AAPL,ADBE,ADI,ADSK,AMAT,AMD,APP,ARM,ASML,AVGO,CDNS,CDW,CRWD,CSCO,CTSH,DDOG,FTNT,GFS,INTC,INTU,KLAC,LRCX,MCHP,MRVL,MSFT,MSTR,MU,NVDA,NXPI,ON,PANW,PLTR,QCOM,ROP,SHOP,SNPS,TEAM,TXN,WDAY,ZS
2021-10-20,,,,,,,,,0.04319488747107361,,,,,,,,,,,,,0.059332456183211375,,,,,,,,,,,,,,,,,,
2021-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028510379389243213,,,,,,,,,,,,,
2021-09-21,,0.05515204838941893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-25,,,,,,,,,,,0.04654882606178807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26,,,,,,,,,,,,,,,,,,,,,,,,0.05295793651490765,,,,,,,,,,,,,,,0.06451190225218228,
2021-11-03,,,,,,,,,,,,0.05863968129822008,,,,,,,,,,,,,,,,,,,,,0.0669682500454336,,,,,,,
2021-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03735874350879942,,,,,,
2021-08-24,,,,,,,,,,,,,,,,,,,,0.0405814025742534,,,,,,,,,,,,,,,,,,,,
2021-11-04,,,,,,,,,,,,,,,,0.10356760622526337,0.061128196909109096,,,,,,0.043979367272398345,,,,,,,,,,,,,,,,,
2021-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06575193333081526
2021-08-31,,,,,,,,,,,,,0.09654261741983165,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10511687845608397,,,,,,,,
2021-11-10,,,,,,,0.061919335229005494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049297547083987966,0.06406101346569808,,,,,,,,,,
2021-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06142728320318581,,,,,,,,,
2021-09-02,,,,,,,,,,0.04589526326286183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01,,,,,,0.06419743632225955,,,,,,,,,,,,,,,,,,,,0.06076240948021077,,,,,,,,,,,,,,
2021-11-23,,,0.03768893583665896,0.06811166078877906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-27,0.058675274813894805,,,,,,,,,,,,,,,,,,,,0.06338041154733108,,,,,,,,,,,,,,,,0.09525488658820747,,,
2021-11-18,,,,,0.05810746377193805,,,,,,,,,,,,,,,0.05209562903542363,,,,,,,,,,,0.09322923675533712,,,,,,,,0.05012294937067086,
2022-01-26,,,,,,,,,,,,,,,,,,,0.055075444697388065,,,0.05848860406681204,,,,,,,,,,,,,,,,,,
2021-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038197065032802666,,,,,,,,,,,,,
2022-01-25,,,,,,,,,,,,,,,,,,,,,,,,,0.060077570165117694,,,,,,,,,,,,,0.06544932377499545,,
2021-12-16,,0.053925113851020286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-22,,,,,,,,,,,0.05467538625652913,,,,,,,,,,,,,,,,,,,,0.10721137031942404,,,,,,,,,
2021-11-17,,,,,,,,,,,,,,0.0510131902253945,,,,,,,,,,,,,,0.06804398367230638,,,,,,,,,,,,
2022-02-16,,,0.0453116291518582,,0.06935777061787575,,0.058439290885864595,,,,,,,0.05756415360728277,,,,,,,,,,,,,,0.05847832914094218,,,,,,,0.053553382984927414,0.0644031976846319,,,,
2022-02-02,,,,,,,,,,,,,,,0.035725850938381716,,,,,,,,,,,,,,,,,,0.06404009129839512,0.050069577698527136,,,,,,
2021-12-01,,,,,,,,,,,,,0.10389268876279008,,,,,,,,,,,,,,,,,,,,,,,0.06108159742654925,,,,
2022-02-03,,,,,,,,,,,,,,,,,0.07440800092028738,,,,,,0.05539246434529762,,,,,,,,,,,,,,,,,
2022-02-09,,,,,,,,,,,,0.06753822511350442,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10723686810591244
2022-02-10,,,,,,,,,,,,,,,,0.07915661456637316,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10699550605243485,,,,,,,,
2022-02-08,,,,,,,,,,,,,,,,,,0.06879901034201626,,,,,,,,,,,,,,,,,,,,,,
2022-01-19,,,,,,,,,0.06527092573994803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05579946623989457,,,,,,,,,,
2021-12-02,,,,,,,,,,,,,,,,,,,,,,,,0.07008338885245348,,,,,,,,,,,,,,,,
2021-12-09,,,,,,,,,,0.04993026381653871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053761950895759816,,,,,,,,,,,
2022-05-03,,,,,,0.04700019112867099,,,,,,,,,,,,,,,,,,,,0.08841988789576574,,,,,,,,,,,,,,
2022-04-28,0.06088289346918074,,,,,,,,,,,,,,,,,,0.057928481715660396,,0.07076458425236182,,,,,,,,,,,,,,,,0.10274557283652351,,,
2022-02-24,,,,0.06443155977493713,,,,,,,,,,,,,,,,0.05471686479683106,,,,,,,,,,,,,,,,,,,,0.10359862883778297
2022-04-20,,,,,,,,,0.05251190264428116,,,,,,,,,,,,,0.07062043668383257,,,,,,,,,,,,,,,,,,
2022-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041312434874719625,,,,,,,,,,,,,
2022-04-26,,,,,,,,,,,,,,,,,,,,,,,,,0.06792002692439157,,,,,,,,,0.05522325131091921,,,,0.06138155817980057,,
2022-03-22,,0.05488314391942896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,,,,,,,,,,0.04988821245147286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0702059460377193,
2022-05-05,,,,,,,,,,,,,,,,0.05920687067614633,,,,,,,,,,,,,,,,,,,0.055107953495525386,,,,,
2022-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06990380974932112,,,,,,,
2022-05-09,,,,,,,,,,,,,,,,,,,,,,,0.056638303574950755,,,,,,,,,0.11546711690015941,,,,,,,,
2022-05-04,,,,,,,,,,,,0.07137073457867331,,,0.03933842212371983,,0.08465841513574392,,,,,,,,,,,,,,,,,,,,,,,
2022-03-09,,,,,,,,,,,,,0.11417696677678096,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-11,,,,,,,0.07630868075671925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-10,,,,,,,,,,,,,,,,,,0.07891088137983013,,,,,,,,,,,,,,,,,,,,,,
2022-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06273085483710608,0.0611368676557263,,,,,,,,,,
2022-03-03,,,,,,,,,,0.06328191914634726,,,,,,,,,,,,,,0.07737485137571212,,,,,,,,,,,,,,,,
2022-08-02,,,,,,0.06167851760983467,,,,,,,,,,,,,,,,,0.06167851760983467,,,0.06368453800678253,,,,,,,,,,,,,,
2022-05-18,,,0.06167851760983467,,,,,,,,,,,0.06167851760983467,,,,,,,,,,,,,,,,,,,,,,0.06167851760983467,,,,
2022-07-28,0.0503418855369091,,,,,,,,,,,,,,,,,,0.06167851760983467,,0.06790556758642197,,,,,,,,,,,,,,,,,,,
2022-05-19,,,,,0.06790556758642197,,,,,,,,,,,,,,,,,,,,,,,,,,0.06167851760983467,,,,,,,,,
2022-05-26,,,,0.06201336905360222,,,,,,0.048107605427503586,,,,,,,,,,,,,,0.06167851760983467,,,,,,,,,,,,,,,0.06167851760983467,0.08383812010288239
2022-07-27,,,,,,,,,,,,,,,0.06167851760983467,,,,,,,0.06790556758642197,,,,,,,,,,,0.06790556758642197,,0.055297330021858215,,,,,
2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06167851760983467,,,,,,,,,,,,,
2022-07-26,,,,,,,,,,,,,,,,,,,,,,,,,0.06818655133247375,,,,,,,,,,,,,0.06450577080249786,,
2022-06-16,,0.06167851760983467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-25,,,,,,,,,,,0.0606328621506691,,,,,,,,,,,,,,,,,,0.06167851760983467,,,,,,,,,,,
2022-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048107605427503586,,,,,,
2022-08-04,,,,,,,,,,,,,,,,0.059975750744342804,,,,,,,,,,,,,,,,,,,,,0.059975750744342804,,,
2022-05-24,,,,,,,,,,,,,,,,,,,,0.06167851760983467,,,,,,,,,,,,,,,,,,,,
