tic,predicted_return,trade_date
CHTR,0.0550240473485511,2020-05-05
EA,0.0964583102889711,2020-05-05
GOOGL,0.0909892107258076,2020-05-05
META,0.0894191520092959,2020-05-05
NFLX,0.0459619184401102,2020-05-05
CSGP,0.0536049025831744,2020-05-05
MELI,0.0598067939281463,2020-05-06
ORLY,0.0501387976109981,2020-05-06
SBUX,0.0526515915989875,2020-05-06
TSLA,0.0607108548283577,2020-05-06
ADBE,0.0473979793519609,2020-05-06
ADSK,0.0484835987916261,2020-05-06
AMAT,0.0491472462704764,2020-05-06
CDNS,0.0547818059869897,2020-05-06
CDW,0.0512913003181245,2020-05-06
CRWD,0.0669807843611018,2020-05-06
LRCX,0.0518167174971887,2020-05-06
NVDA,0.0788035573590256,2020-05-06
PANW,0.0542822254613326,2020-05-06
CHTR,0.0550240473485511,2020-05-06
EA,0.0964583102889711,2020-05-06
GOOGL,0.0909892107258076,2020-05-06
META,0.0894191520092959,2020-05-06
WBD,0.1441647381943508,2020-05-06
CSGP,0.0536049025831744,2020-05-06
LIN,0.0568628145847469,2020-05-07
AXON,0.0579110570251941,2020-05-07
MELI,0.0598067939281463,2020-05-07
ORLY,0.0501387976109981,2020-05-07
SBUX,0.0526515915989875,2020-05-07
TSLA,0.0607108548283577,2020-05-07
ADSK,0.0484835987916261,2020-05-07
AMAT,0.0491472462704764,2020-05-07
CDNS,0.0547818059869897,2020-05-07
CDW,0.0512913003181245,2020-05-07
CRWD,0.0669807843611018,2020-05-07
LRCX,0.0518167174971887,2020-05-07
NVDA,0.0788035573590256,2020-05-07
PANW,0.0542822254613326,2020-05-07
CHTR,0.0550240473485511,2020-05-07
EA,0.0964583102889711,2020-05-07
GOOGL,0.0909892107258076,2020-05-07
META,0.0894191520092959,2020-05-07
TTD,0.1327721939510565,2020-05-07
WBD,0.1441647381943508,2020-05-07
CSGP,0.0536049025831744,2020-05-07
LIN,0.0568628145847469,2020-05-08
AXON,0.0579110570251941,2020-05-08
MELI,0.0598067939281463,2020-05-08
ORLY,0.0501387976109981,2020-05-08
SBUX,0.0526515915989875,2020-05-08
TSLA,0.0607108548283577,2020-05-08
ADBE,0.0473979793519609,2020-05-08
ADSK,0.0484835987916261,2020-05-08
AMAT,0.0491472462704764,2020-05-08
CDNS,0.0547818059869897,2020-05-08
CDW,0.0512913003181245,2020-05-08
CRWD,0.0669807843611018,2020-05-08
LRCX,0.0518167174971887,2020-05-08
NVDA,0.0788035573590256,2020-05-08
PANW,0.0542822254613326,2020-05-08
CHTR,0.0550240473485511,2020-05-08
EA,0.0964583102889711,2020-05-08
GOOGL,0.0909892107258076,2020-05-08
META,0.0894191520092959,2020-05-08
TTD,0.1327721939510565,2020-05-08
WBD,0.1441647381943508,2020-05-08
CSGP,0.0536049025831744,2020-05-08
LIN,0.0568628145847469,2020-05-11
AXON,0.0579110570251941,2020-05-11
MELI,0.0598067939281463,2020-05-11
ORLY,0.0501387976109981,2020-05-11
SBUX,0.0526515915989875,2020-05-11
TSLA,0.0607108548283577,2020-05-11
ADBE,0.0473979793519609,2020-05-11
ADSK,0.0484835987916261,2020-05-11
AMAT,0.0491472462704764,2020-05-11
CDNS,0.0547818059869897,2020-05-11
CDW,0.0512913003181245,2020-05-11
CRWD,0.0669807843611018,2020-05-11
LRCX,0.0518167174971887,2020-05-11
NVDA,0.0788035573590256,2020-05-11
PANW,0.0542822254613326,2020-05-11
CHTR,0.0550240473485511,2020-05-11
EA,0.0964583102889711,2020-05-11
GOOGL,0.0909892107258076,2020-05-11
META,0.0894191520092959,2020-05-11
TTD,0.1327721939510565,2020-05-11
WBD,0.1441647381943508,2020-05-11
CSGP,0.0536049025831744,2020-05-11
LIN,0.0568628145847469,2020-05-12
AXON,0.0579110570251941,2020-05-12
MELI,0.0598067939281463,2020-05-12
ORLY,0.0501387976109981,2020-05-12
SBUX,0.0526515915989875,2020-05-12
TSLA,0.0607108548283577,2020-05-12
ADBE,0.0473979793519609,2020-05-12
ADSK,0.0484835987916261,2020-05-12
AMAT,0.0491472462704764,2020-05-12
CDNS,0.0547818059869897,2020-05-12
CDW,0.0512913003181245,2020-05-12
CRWD,0.0669807843611018,2020-05-12
LRCX,0.0518167174971887,2020-05-12
NVDA,0.0788035573590256,2020-05-12
PANW,0.0542822254613326,2020-05-12
CHTR,0.0550240473485511,2020-05-12
EA,0.0964583102889711,2020-05-12
GOOGL,0.0909892107258076,2020-05-12
META,0.0894191520092959,2020-05-12
TTD,0.1327721939510565,2020-05-12
WBD,0.1441647381943508,2020-05-12
CSGP,0.0536049025831744,2020-05-12
LIN,0.0568628145847469,2020-05-13
AXON,0.0579110570251941,2020-05-13
MELI,0.0598067939281463,2020-05-13
ORLY,0.0501387976109981,2020-05-13
SBUX,0.0526515915989875,2020-05-13
TSLA,0.0607108548283577,2020-05-13
ADBE,0.0473979793519609,2020-05-13
ADSK,0.0484835987916261,2020-05-13
AMAT,0.0491472462704764,2020-05-13
CDNS,0.0547818059869897,2020-05-13
CDW,0.0512913003181245,2020-05-13
CRWD,0.0669807843611018,2020-05-13
LRCX,0.0518167174971887,2020-05-13
NVDA,0.0788035573590256,2020-05-13
PANW,0.0542822254613326,2020-05-13
CHTR,0.0550240473485511,2020-05-13
EA,0.0964583102889711,2020-05-13
GOOGL,0.0909892107258076,2020-05-13
META,0.0894191520092959,2020-05-13
TTD,0.1327721939510565,2020-05-13
WBD,0.1441647381943508,2020-05-13
CSGP,0.0536049025831744,2020-05-13
LIN,0.0568628145847469,2020-05-14
AXON,0.0579110570251941,2020-05-14
MELI,0.0598067939281463,2020-05-14
ORLY,0.0501387976109981,2020-05-14
SBUX,0.0526515915989875,2020-05-14
TSLA,0.0607108548283577,2020-05-14
ADBE,0.0473979793519609,2020-05-14
ADSK,0.0484835987916261,2020-05-14
AMAT,0.0487480573356151,2020-05-14
CDNS,0.0547818059869897,2020-05-14
CDW,0.0512913003181245,2020-05-14
CRWD,0.0669807843611018,2020-05-14
LRCX,0.0518167174971887,2020-05-14
NVDA,0.0788035573590256,2020-05-14
PANW,0.0542822254613326,2020-05-14
CHTR,0.0550240473485511,2020-05-14
EA,0.0964583102889711,2020-05-14
GOOGL,0.0909892107258076,2020-05-14
META,0.0894191520092959,2020-05-14
TTD,0.1327721939510565,2020-05-14
WBD,0.1441647381943508,2020-05-14
CSGP,0.0536049025831744,2020-05-14
LIN,0.0568628145847469,2020-05-15
AXON,0.0579110570251941,2020-05-15
MELI,0.0598067939281463,2020-05-15
ORLY,0.0501387976109981,2020-05-15
SBUX,0.0526515915989875,2020-05-15
TSLA,0.0607108548283577,2020-05-15
ADBE,0.0473979793519609,2020-05-15
ADSK,0.0484835987916261,2020-05-15
AMAT,0.0487480573356151,2020-05-15
CDNS,0.0547818059869897,2020-05-15
CDW,0.0512913003181245,2020-05-15
CRWD,0.0669807843611018,2020-05-15
LRCX,0.0518167174971887,2020-05-15
NVDA,0.0788035573590256,2020-05-15
PANW,0.0542822254613326,2020-05-15
CHTR,0.0550240473485511,2020-05-15
EA,0.0964583102889711,2020-05-15
GOOGL,0.0909892107258076,2020-05-15
META,0.0894191520092959,2020-05-15
TTD,0.1327721939510565,2020-05-15
WBD,0.1441647381943508,2020-05-15
CSGP,0.0536049025831744,2020-05-15
LIN,0.0568628145847469,2020-05-18
AXON,0.0579110570251941,2020-05-18
MELI,0.0598067939281463,2020-05-18
ORLY,0.0501387976109981,2020-05-18
SBUX,0.0526515915989875,2020-05-18
TSLA,0.0607108548283577,2020-05-18
ADBE,0.0473979793519609,2020-05-18
ADSK,0.0484835987916261,2020-05-18
AMAT,0.0487480573356151,2020-05-18
CDNS,0.0547818059869897,2020-05-18
CDW,0.0512913003181245,2020-05-18
CRWD,0.0669807843611018,2020-05-18
LRCX,0.0518167174971887,2020-05-18
NVDA,0.0788035573590256,2020-05-18
PANW,0.0542822254613326,2020-05-18
CHTR,0.0550240473485511,2020-05-18
EA,0.0964583102889711,2020-05-18
